Symbol,Atomic Number,Atomic Weight,Atomic Radius,Covalent Radius,Valence Electrons,Density,Electronegativity,Melting Point,Boiling Point,Heat Capacity,Specific Heat,Heat of Fusion,Heat of Vaporization,Thermal Conductivity,Electrical Conductivity,First Ionization Potential,Metal Classification,Bulk Modulus,Shear Modulus,Toxic,Radioactive,Price
Sm,62,150.36,1.8,1.66,3,7.52,1.17,1350,2064,29.54,0.2,8630,166400,0.133,0.00956,5.6,Metal,29.4,12.9,FALSE,FALSE,3
Eu,63,151.965,2.04,1.85,3,5.243,,1095,1870,27.66,0.18,9210,143500,0.139,0.0112,5.67,Metal,14.7,6,FALSE,FALSE,300
Gd,64,157.25,1.8,1.61,3,7.9,1.2,1586,3539,37.03,0.23,10050,359400,0.106,0.00736,6.16,Metal,38.3,22.7,FALSE,FALSE,20
Tb,65,158.92534,1.78,1.59,3,8.229,,1629,3396,28.91,0.18,10800,330900,0.111,0.00889,6.74,Metal,39.9,23.3,FALSE,FALSE,650
Dy,66,162.5,1.77,1.59,3,8.55,1.22,1685,2835,27.7,0.17,11060,230000,0.107,0.0108,6.82,Metal,38.4,25.9,FALSE,FALSE,70
Ho,67,164.93032,1.77,1.58,3,8.795,1.23,1747,2968,27.15,0.16,12200,241000,0.162,0.0124,5.81,Metal,39.7,27.2,FALSE,FALSE,8600
Er,68,167.26,1.76,1.57,3,9.066,1.24,1802,3136,28.12,0.17,19900,261000,0.143,0.0117,5.893,Metal,41.1,30.2,FALSE,FALSE,5400
Tm,69,168.93421,1.75,1.56,3,9.321,1.25,1818,2220,27.03,0.16,16840,191000,0.168,0.015,5.967,Metal,36.7,31,FALSE,FALSE,70000
Yb,70,173.04,1.94,1.7,3,6.965,,1097,1466,26.74,0.15,7660,128900,0.349,0.0351,6.2,Metal,13.3,7.1,FALSE,FALSE,14000
Lu,71,174.967,1.73,1.56,3,9.84,1.27,1936,3668,26.86,0.15,18600,355900,0.164,0.0185,5,Metal,41.1,34.5,FALSE,FALSE,
Hf,72,178.49,1.56,1.44,4,13.31,1.3,2503,5470,25.73,0.14,24060,575000,0.23,0.0312,7,Metal,108.9,54,FALSE,FALSE,1200
Ta,73,180.9479,1.43,1.34,5,16.654,1.5,3269,5698,25.36,0.14,31600,743000,0.575,0.0761,7.88,Metal,200.1,70,FALSE,FALSE,150
W,74,183.84,1.37,1.3,6,19.3,2.36,3680,5930,24.27,0.13,35400,824000,1.74,0.189,7.98,Metal,323.2,156,FALSE,FALSE,20
Re,75,186.207,1.37,1.28,7,21.02,1.9,3453,5900,25.48,0.13,33200,715000,0.479,0.0542,7.87,Metal,371.7,182,FALSE,FALSE,5000
Os,76,190.23,1.35,1.26,8,22.59,2.2,3327,5300,24.7,0.13,31800,746000,0.876,0.109,8.7,Metal,462,214,TRUE,FALSE,77000
Ir,77,192.22,1.36,1.26,9,22.56,2.2,2683,4403,25.1,0.13,26100,604000,1.47,0.197,9,Metal,383,214,FALSE,FALSE,42000
Pt,78,195.08,1.38,1.29,10,21.45,2.28,2045,4100,25.86,0.13,19600,510000,0.716,0.0966,8.96,Metal,278.3,62.2,FALSE,FALSE,54000
Au,79,196.96654,1.44,1.34,11,19.32,2.54,1337.58,3080,25.418,0.128,12550,334400,3.17,0.452,9.22,Metal,173.2,28.1,FALSE,FALSE,53000
Hg,80,200.59,1.6,1.44,12,13.546,2,234.28,629.73,27.983,0.139,2295,59229,0.0834,0.0104,10.43,Metal,38.2,10.2,TRUE,FALSE,20
Tl,81,204.3833,1.7,1.55,3,11.85,,576.7,1730,26.32,0.13,4142,164100,0.461,0.0617,6.11,Metal,35.9,2.8,TRUE,FALSE,480
Pb,82,207.2,1.75,1.54,4,11.35,2.33,600.65,2013,26.65,0.13,4799,177700,0.353,0.0481,7.41,Metal,42.9,5.5,FALSE,FALSE,3
Bi,83,208.98037,1.55,1.52,5,9.747,2.02,544.5,1883,25.52,0.12,11300,104800,0.0787,0.00867,7.29,Metal,31.5,13.1,FALSE,FALSE,20
Po,84,208.9824,1.67,1.53,6,9.32,2,527,1235,,0.12,,,0.2,0.0219,8.43,Metal,26,9.7,FALSE,TRUE,
At,85,209.9871,,1.45,7,,2.2,575,610,,,,,0.017,,,Metalloid,,,FALSE,TRUE,
Rn,86,222.0176,,,8,0.00973,,202,211.4,20.786,0.09,2890,16400,0.0000364,,10.74,Nonmetal,,,FALSE,FALSE,
Fr,87,223.0197,,,1,,0.7,300,950,,,,,0.15,0.03,3.929,Metal,2,0.63,FALSE,FALSE,
Ra,88,226.0254,2.23,,2,5,0.89,973,1413,,0.12,,,0.186,,5.28,Metal,13.2,6.1,FALSE,TRUE,
Ac,89,227.0278,1.88,,3,10.06,1.1,1320,3470,27.2,,,,0.12,,6.9,Metal,25,13.8,FALSE,TRUE,100
Th,90,232.0381,1.8,1.65,3,11.72,1.3,2023,5060,26.23,0.12,16100,514400,0.54,0.0653,6.085,Metal,54.3,28.4,FALSE,FALSE,
Pa,91,231.03588,1.61,,3,15.37,1.5,2113,4300,,0.12,12300,,0.47,0.0529,5.683,Metal,76,39.8,FALSE,FALSE,280000
U,92,238.0289,1.54,1.42,3,18.95,1.38,1405.5,4018,27.665,0.12,8520,477000,0.276,0.038,4,Metal,98.7,75,FALSE,FALSE,
Np,93,237.0482,,,3,20.25,1.36,913,4175,,0.12,5190,,0.063,0.00822,6.045,Metal,68,40.6,FALSE,FALSE,
Pu,94,244.0642,,,3,19.84,1.28,914,3505,,0.13,2840,344000,0.0674,0.00666,5.814,Metal,54,44.6,FALSE,FALSE,4000000
Am,95,243.0614,,,3,13.67,1.3,1445,2880,,0.11,14400,,0.1,0.022,5.764,Metal,,,FALSE,FALSE,
Cm,96,247.0703,,,,13.3,1.3,1610,,,,15000,,0.1,,5.781,Metal,,,FALSE,FALSE,
Bk,97,247.0703,1.7,,,14.79,1.3,1320,,,,,,0.1,,5.98,Metal,,,FALSE,FALSE,
Cf,98,251.0796,1.69,,,,1.3,1170,,,,,,0.1,,6.061,Metal,,,FALSE,FALSE,
Es,99,252.083,2.03,,,,1.3,1130,,,,,,0.1,,6.194,Metal,,,FALSE,FALSE,
Fm,100,257.0951,,,,,1.3,,,,,,,0.1,,6.272,Metal,,,FALSE,FALSE,
Md,101,258.0984,,,,,1.3,,,,,,,0.1,,6.349,Metal,,,FALSE,FALSE,
No,102,259.1011,,,,,1.3,,,,,,,0.1,,6.416,Metal,,,FALSE,FALSE,
Lr,103,262.1098,,,,,1.3,,,,,,,0.1,,4.728,Metal,,,FALSE,FALSE,
Rf,104,261.1089,1.5,,,23,,2400,5800,,,,,0.23,,5.79,Metal,,,FALSE,FALSE,
Ha,105,262.1144,,,,,,,,,,,,0.58,,,Metal,,,FALSE,FALSE,
Sg,106,263.1186,1.32,,,3.5,,,,,,,,,,,Metal,,,FALSE,FALSE,
Ns,107,262.1231,,,,,,,,,,,,,,,Metal,,,FALSE,FALSE,
Hs,108,265.1306,1.26,,,41,,,,,,,,,,,Metal,,,FALSE,FALSE,
Mt,109,266.1378,,,,,,,,,,,,,,,,,,,,
Ds,110,268,,,,,,,,,,,,,,,,,,,,
Rg,111,269,,,,,,,,,,,,,,,,,,,,
