"sample_id","plate_no","generation","read_no","week_no","cocktail_no","human_crystal","class3_crystal","class3_clear","class3_other"
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890516200801181228",2,"C1089",0,0.45625,0.10225,0.4415
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890682200801181226",2,"C0903",0,0.40725,0.27125,0.3215
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890304200801181231",2,"C1072",0,0.43175,0.27075,0.2975
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891014200801181221",2,"C1214",0,0.449,0.09,0.461
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891502200801181215",2,"C1336",0,0.42325,0.30375,0.273
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890512200801181228",2,"C1088",0,0.4445,0.24525,0.31025
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891260200801181218",2,"C1131",0,0.4075,0.2835,0.309
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891528200801181215",2,"C1534",0,0.40425,0.30175,0.294
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890666200801181227",2,"C1199",0,0.45525,0.0925,0.45225
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890296200801181231",2,"C1070",0,0.42125,0.29075,0.288
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891116200801181220",2,"C1503",0,0.409,0.293,0.298
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890086200801181234",2,"C1162",0,0.4545,0.08225,0.46325
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891202200801181219",2,"C1225",0,0.44025,0.0995,0.46025
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890508200801181228",2,"C1087",0,0.41625,0.2615,0.32225
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890680200801181226",2,"C1094",0,0.40325,0.29225,0.3045
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890450200801181229",2,"C1181",0,0.4535,0.09075,0.45575
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890856200801181224",2,"C1402",0,0.38925,0.17525,0.4355
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890858200801181224",2,"C1211",0,0.442,0.092,0.466
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890780200801181225",2,"C1011",0,0.4135,0.30225,0.28425
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890060200801181234",2,"C1347",0,0.3975,0.299,0.3035
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890592200801181227",2,"C1000",0,0.45125,0.10975,0.439
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890300200801181231",2,"C1071",0,0.41925,0.2885,0.29225
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890922200801181222",2,"C1299",0,0.401,0.2915,0.3075
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890642200801181226",2,"C1193",0,0.45175,0.07925,0.469
